episode,reward,throughput_Mbps,fairness
708,2.3806,0.01,0.856
709,2.3276,0.01,0.7234
710,2.4803,0.01,0.8439
711,2.4262,0.01,0.7653
712,2.3438,0.01,0.8634
713,2.3996,0.01,0.7604
714,2.3447,0.01,0.7706
715,2.4232,0.01,0.8262
716,2.3603,0.01,0.7852
717,2.3462,0.01,0.7193
718,2.2911,0.01,0.8268
719,2.3914,0.01,0.7983
720,2.4015,0.01,0.7359
721,2.4178,0.01,0.8287
722,2.2866,0.01,0.7607
723,2.3821,0.01,0.7901
724,2.4398,0.01,0.8509
725,2.3706,0.01,0.8638
726,2.3914,0.01,0.8187
727,2.4249,0.01,0.8585
728,2.3739,0.01,0.7428
729,2.4144,0.01,0.8151
730,2.4152,0.01,0.8159
731,2.4269,0.01,0.7974
732,2.4371,0.01,0.8676
733,2.4302,0.01,0.7342
734,2.3902,0.01,0.6604
735,2.306,0.01,0.7569
736,2.4006,0.01,0.7976
737,2.3969,0.01,0.7472
738,2.3912,0.01,0.8027
739,2.4305,0.01,0.8432
740,2.3974,0.01,0.8499
741,2.3281,0.01,0.6648
742,2.4637,0.01,0.8265
743,2.4792,0.01,0.8685
744,2.4058,0.01,0.796
745,2.3673,0.01,0.7499
746,2.3968,0.01,0.8122
747,2.396,0.01,0.8513
748,2.3423,0.01,0.7669
749,2.3798,0.01,0.7441
750,2.3555,0.01,0.762
751,2.4315,0.01,0.8139
752,2.4297,0.01,0.7619
753,2.3629,0.01,0.8568
754,2.3827,0.01,0.8131
755,2.3664,0.01,0.8024
756,2.3845,0.01,0.8309
757,2.4077,0.01,0.8313
758,2.4752,0.01,0.8064
759,2.4173,0.01,0.8005
760,2.3463,0.01,0.7633
761,2.4373,0.01,0.8739
762,2.3766,0.01,0.8649
763,2.4549,0.01,0.8067
764,2.3317,0.01,0.8273
765,2.3416,0.01,0.8608
766,2.3109,0.01,0.6948
767,2.2915,0.01,0.8917
768,2.3809,0.01,0.8415
769,2.4157,0.01,0.8265
770,2.3634,0.01,0.8169
771,2.4139,0.01,0.8459
772,2.3883,0.01,0.7509
773,2.4065,0.01,0.8119
774,2.2875,0.01,0.7579
775,2.3268,0.01,0.7197
776,2.4096,0.01,0.8097
777,2.3896,0.01,0.8543
778,2.4434,0.01,0.8669
779,2.4092,0.01,0.8762
780,2.4405,0.01,0.846
781,2.4555,0.01,0.8983
782,2.313,0.01,0.7986
783,2.3057,0.01,0.8085
784,2.4164,0.01,0.8212
785,2.4106,0.01,0.7437
786,2.3956,0.01,0.761
787,2.4115,0.01,0.6948
788,2.4147,0.01,0.772
789,2.4469,0.01,0.8332
790,2.4419,0.01,0.7848
791,2.3837,0.01,0.8478
792,2.3049,0.01,0.8692
793,2.4065,0.01,0.8485
794,2.3071,0.01,0.6909
795,2.3187,0.01,0.7381
796,2.3618,0.01,0.6838
797,2.3643,0.01,0.8233
798,2.2859,0.01,0.7067
799,2.4808,0.01,0.7713
800,2.3698,0.01,0.7313
801,2.3903,0.01,0.8118
802,2.4675,0.01,0.8408
803,2.3771,0.01,0.6989
804,2.3285,0.01,0.7029
805,2.267,0.01,0.7601
806,2.4158,0.0,0.7313
807,2.3216,0.01,0.773
808,2.2934,0.01,0.7661
809,2.3496,0.01,0.8303
810,2.4256,0.01,0.8085
811,2.4012,0.01,0.696
812,2.3381,0.01,0.8648
813,2.3245,0.01,0.6947
814,2.3999,0.01,0.794
815,2.4752,0.01,0.836
816,2.3348,0.01,0.6967
817,2.3424,0.01,0.7999
818,2.4355,0.01,0.8235
819,2.3384,0.01,0.7809
